image,method,available,payload_bits,auxiliary_bits,net_payload_bits,changed_pixels,drd,psnr_db,reversible,message_exact,parameter,runtime_seconds,error
2766.pgm,Dong-adaptive-conservative,False,512,0,0,0,,,False,False,,9.985694400034845,l=1: Dong location map contains unused marks; l=2: Dong location map contains unused marks; l=3: Dong location map contains unused marks; l=4: Dong location map contains unused marks; l=5: Dong location map contains unused marks; l=6: Dong location map contains unused marks; l=7: Dong location map contains unused marks; l=8: Dong location map contains unused marks; l=9: Dong location map contains unused marks; l=10: Dong location map contains unused marks
2881.pgm,ABM-enumerative,True,512,224,288,246,0.09748143881402951,30.276048148482822,True,True,,3.2756183999590576,
2881.pgm,PPOCP-conservative,True,512,3752,-3240,237,0.03836694973866986,30.437915759415578,True,True,,0.16509269992820919,
2881.pgm,Huynh-Nguyen-T5,True,512,1088,-576,311,0.13651368941887898,29.257795329248243,True,True,,2.219407399999909,
2881.pgm,Dong-adaptive-conservative,True,512,344,168,268,0.11223803604414359,29.904051279228728,True,True,l=10,7.96292440011166,
2929.pgm,ABM-enumerative,True,512,152,360,258,0.1583553859081942,30.069202159884313,True,True,,3.3667607000097632,
2929.pgm,PPOCP-conservative,True,512,5328,-4816,247,0.08125307392156698,30.25842968691996,True,True,,0.08881600003223866,
2929.pgm,Huynh-Nguyen-T5,True,512,1864,-1352,263,0.14876454411797954,29.985841734619036,True,True,,1.8005063000600785,
2929.pgm,Dong-adaptive-conservative,True,512,304,208,273,0.15533161786365418,29.823772749109057,True,True,l=4,15.997563599958085,
2947.pgm,ABM-enumerative,True,512,200,312,255,0.15963997437484795,30.11999741517706,True,True,,2.863338500028476,
2947.pgm,PPOCP-conservative,True,512,6136,-5624,259,0.0946134312335745,30.0524015787041,True,True,,0.18605200003366917,
2947.pgm,Huynh-Nguyen-T5,True,512,1072,-560,288,0.14552577526253085,29.591474341924307,True,True,,2.851227500010282,
2947.pgm,Dong-adaptive-conservative,True,512,328,184,277,0.17038192611346073,29.76060152887213,True,True,l=3,13.930750999948941,
3009.pgm,ABM-enumerative,True,512,160,352,270,0.09963880934173565,29.871761577926744,True,True,,4.385093200020492,
3009.pgm,PPOCP-conservative,True,512,4616,-4104,263,0.042402190361304735,29.985841734619036,True,True,,0.2151552999857813,
3009.pgm,Huynh-Nguyen-T5,True,512,1072,-560,310,0.08879619994146294,29.27178228117389,True,True,,2.3629794999724254,
3009.pgm,Dong-adaptive-conservative,True,512,320,192,282,0.10062462970922435,29.682908136323004,True,True,l=1,28.386839700047858,
3089.pgm,ABM-enumerative,True,512,208,304,235,0.12403817387451815,30.474720596799255,True,True,,3.9403395999688655,
3089.pgm,PPOCP-conservative,True,512,6144,-5632,269,0.08139948626152567,29.887876419492535,True,True,,0.19329979992471635,
3089.pgm,Huynh-Nguyen-T5,True,512,1120,-608,292,0.12463417310546913,29.531570705032433,True,True,,2.182613000040874,
3089.pgm,Dong-adaptive-conservative,True,512,512,0,313,0.14618885345516272,29.229955844052128,True,True,l=1,23.373018500045873,
3099.pgm,ABM-enumerative,True,512,352,160,246,0.2977595493405681,30.276048148482822,True,True,,4.043608800042421,
3099.pgm,PPOCP-conservative,True,512,5832,-5320,263,0.19379557914950626,29.985841734619036,True,True,,0.17423530004452914,
3099.pgm,Huynh-Nguyen-T5,False,512,0,0,0,,,False,False,,1.019295800011605,capacity below target
3099.pgm,Dong-adaptive-conservative,True,512,536,-24,376,0.3993074862240469,28.433520770240005,True,True,l=3,35.59969479998108,
3105.pgm,ABM-enumerative,True,512,152,360,246,0.13050350796341717,30.276048148482822,True,True,,3.7280580999795347,
3105.pgm,PPOCP-conservative,True,512,5800,-5288,263,0.07172257631795197,29.985841734619036,True,True,,0.1649189000017941,
3105.pgm,Huynh-Nguyen-T5,True,512,1904,-1392,291,0.12208583703441585,29.546469329657544,True,True,,1.8291448999661952,
3105.pgm,Dong-adaptive-conservative,True,512,352,160,45620,26.042190094185337,7.593846410110317,True,True,l=1,12.06986029993277,
3109.pgm,ABM-enumerative,True,512,328,184,242,0.17254108390650783,30.347245559712302,True,True,,4.136391200008802,
3109.pgm,PPOCP-conservative,True,512,5912,-5400,265,0.11767626082976426,29.952940480148538,True,True,,0.1870607000309974,
3109.pgm,Huynh-Nguyen-T5,True,512,1096,-584,286,0.22215624674122397,29.621738888226187,True,True,,2.6934936000034213,
3109.pgm,Dong-adaptive-conservative,True,512,440,72,298,0.19531106130303125,29.443236578754064,True,True,l=5,17.696717599988915,
3116.pgm,ABM-enumerative,True,512,208,304,243,0.32280745413255874,30.329336483533496,True,True,,4.230377200059593,
3116.pgm,PPOCP-conservative,True,512,4744,-4232,251,0.20316324358051613,30.18866200470623,True,True,,0.17212810006458312,
3116.pgm,Huynh-Nguyen-T5,False,512,0,0,0,,,False,False,,1.0524340000702068,capacity below target
3116.pgm,Dong-adaptive-conservative,True,512,568,-56,406,0.41362566655731187,28.100138883744673,True,True,l=1,57.76890580006875,
3125.pgm,ABM-enumerative,True,512,208,304,237,0.3199217555925017,30.437915759415578,True,True,,2.31918620003853,
3125.pgm,PPOCP-conservative,True,512,4880,-4368,263,0.21105484011012454,29.985841734619036,True,True,,0.08929609996266663,
3125.pgm,Huynh-Nguyen-T5,False,512,0,0,0,,,False,False,,0.5955312999431044,capacity below target
3125.pgm,Dong-adaptive-conservative,True,512,392,120,356,0.4670091442888168,28.670899239787865,True,True,l=1,7.064773099962622,
3823.pgm,ABM-enumerative,True,512,200,312,280,0.08100549466196712,29.713818906094424,True,True,,2.3332330000121146,
3823.pgm,PPOCP-conservative,True,512,4808,-4296,262,0.0417833444704126,30.00238630631916,True,True,,0.10576289996970445,
3823.pgm,Huynh-Nguyen-T5,True,512,1088,-576,350,0.10416747079779773,28.744718776013862,True,True,,1.4225696999346837,
3823.pgm,Dong-adaptive-conservative,True,512,440,72,44857,15.535148510667073,7.667096969983513,True,True,l=1,14.304672300000675,
3909.pgm,ABM-enumerative,True,512,328,184,259,0.08128663258329882,30.0524015787041,True,True,,2.2188795000547543,
3909.pgm,PPOCP-conservative,True,512,5688,-5176,258,0.051864190139977,30.069202159884313,True,True,,0.10990059992764145,
3909.pgm,Huynh-Nguyen-T5,True,512,688,-176,384,0.1283434211157923,28.34208697584131,True,True,,1.59530469996389,
3909.pgm,Dong-adaptive-conservative,True,512,528,-16,322,0.10303270611415694,29.106840502558306,True,True,l=1,8.722224299912341,
4004.pgm,ABM-enumerative,True,512,208,304,259,0.13788346135615825,30.0524015787041,True,True,,2.270667999982834,
4004.pgm,PPOCP-conservative,True,512,5992,-5480,271,0.08156611962024082,29.855706310772558,True,True,,0.09676540002692491,
4004.pgm,Huynh-Nguyen-T5,True,512,1120,-608,299,0.15579613493957553,29.42868733627232,True,True,,1.4186269000638276,
